DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.077         	2.710          	10.519         	5.258          	2.590          	0.5727         	338.63         	338.63         	152.70         	0.216          	0.0227         	0.1453         	0.032          	0.000          	177.290        	38.525         	0.609          	
1985-05-20	Triticale      	8.619          	1.292          	0.000          	0.000          	7.327          	0.0000         	184.00         	184.00         	120.43         	0.114          	0.0075         	0.0000         	0.000          	0.086          	0.000          	113.952        	0.000          	
1985-09-13	Soybean        	8.546          	1.185          	2.366          	0.000          	4.995          	0.3214         	253.36         	240.46         	97.05          	0.260          	0.0120         	0.1308         	0.000          	0.000          	130.842        	129.269        	0.000          	
1986-05-08	RyeBioenergyBM 	5.960          	1.149          	0.000          	4.330          	0.481          	0.0000         	122.18         	122.18         	120.30         	0.094          	0.0067         	0.0000         	0.079          	0.059          	78.935         	15.496         	1.823          	
1986-09-17	Maize          	18.543         	2.757          	8.712          	4.739          	2.334          	0.5519         	341.46         	294.10         	127.93         	0.239          	0.0261         	0.1576         	0.037          	0.000          	194.586        	44.369         	0.781          	
1987-05-20	Triticale      	7.245          	1.272          	0.000          	0.000          	5.972          	0.0000         	144.04         	144.04         	170.75         	0.110          	0.0076         	0.0000         	0.000          	0.045          	0.000          	110.123        	0.000          	
1987-09-26	Soybean        	10.030         	1.182          	2.952          	0.000          	5.896          	0.3336         	287.18         	283.99         	124.13         	0.288          	0.0117         	0.1500         	0.000          	0.000          	149.962        	137.667        	0.000          	
1988-05-08	RyeBioenergyBM 	4.902          	1.057          	0.000          	3.460          	0.384          	0.0000         	87.71          	87.71          	124.64         	0.088          	0.0065         	0.0000         	0.073          	0.032          	73.495         	14.618         	2.124          	
1988-09-28	Maize          	16.403         	2.291          	8.065          	4.052          	1.996          	0.5715         	373.17         	292.85         	133.32         	0.229          	0.0195         	0.1574         	0.035          	0.008          	192.294        	36.689         	0.860          	
1989-05-20	Triticale      	6.461          	1.205          	0.000          	0.000          	5.256          	0.0000         	112.49         	112.49         	158.22         	0.115          	0.0078         	0.0000         	0.000          	0.015          	0.000          	115.425        	0.000          	
1989-09-24	Soybean        	9.356          	1.158          	2.739          	0.000          	5.459          	0.3341         	255.83         	244.06         	112.39         	0.278          	0.0115         	0.1449         	0.000          	0.000          	144.924        	132.868        	0.000          	
1990-05-08	RyeBioenergyBM 	5.991          	1.105          	0.000          	4.398          	0.489          	0.0000         	111.08         	111.08         	126.61         	0.101          	0.0068         	0.0000         	0.084          	0.047          	84.345         	16.201         	1.918          	
1990-09-18	Maize          	20.416         	2.677          	10.206         	5.048          	2.486          	0.5753         	321.94         	321.94         	155.03         	0.258          	0.0249         	0.1753         	0.038          	0.000          	213.730        	43.816         	0.760          	
1991-05-20	Triticale      	8.949          	1.303          	0.000          	0.000          	7.645          	0.0000         	168.97         	168.97         	149.68         	0.120          	0.0080         	0.0000         	0.000          	0.078          	0.000          	120.329        	0.000          	
1991-09-21	Soybean        	8.149          	1.038          	2.328          	0.000          	4.782          	0.3274         	278.38         	240.31         	80.64          	0.250          	0.0103         	0.1281         	0.000          	0.000          	128.148        	121.501        	0.000          	
1992-05-08	RyeBioenergyBM 	5.223          	0.973          	0.000          	3.825          	0.425          	0.0000         	83.72          	83.72          	122.58         	0.095          	0.0060         	0.0000         	0.080          	0.029          	79.794         	14.896         	2.086          	
