DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-05-08	RyeBioenergyBM 	4.735          	0.895          	0.663          	2.859          	0.318          	0.1727         	130.85         	130.85         	107.84         	0.062          	0.0045         	0.0165         	0.037          	0.174          	53.611         	8.619          	1.299          	
1985-09-13	Maize          	16.154         	2.583          	6.689          	4.611          	2.271          	0.4929         	330.90         	262.97         	147.95         	0.212          	0.0235         	0.1320         	0.038          	0.000          	169.588        	42.025         	0.814          	
1986-05-20	Triticale      	3.207          	0.651          	0.000          	0.000          	2.556          	0.0000         	130.84         	130.84         	151.36         	0.038          	0.0029         	0.0000         	0.000          	0.282          	0.000          	38.415         	0.000          	
1986-09-17	Soybean        	9.355          	1.208          	2.717          	0.000          	5.431          	0.3334         	262.17         	252.62         	115.87         	0.276          	0.0121         	0.1436         	0.000          	0.000          	143.572        	132.815        	0.000          	
1987-05-08	RyeBioenergyBM 	3.752          	0.831          	0.000          	2.629          	0.292          	0.0000         	89.74          	89.74          	139.77         	0.058          	0.0043         	0.0000         	0.049          	0.105          	48.572         	9.683          	1.848          	
1987-09-26	Maize          	20.603         	2.568          	10.308         	5.177          	2.550          	0.5715         	366.97         	336.67         	141.89         	0.250          	0.0237         	0.1703         	0.038          	0.000          	207.945        	42.267         	0.728          	
1988-05-20	Triticale      	2.280          	0.523          	0.000          	0.000          	1.757          	0.0000         	94.40          	94.40          	183.52         	0.030          	0.0023         	0.0000         	0.000          	0.251          	0.000          	30.069         	0.000          	
1988-09-28	Soybean        	9.121          	1.180          	2.645          	0.000          	5.296          	0.3331         	311.95         	281.02         	93.59          	0.268          	0.0118         	0.1389         	0.000          	0.000          	138.857        	128.773        	0.000          	
1989-05-08	RyeBioenergyBM 	2.787          	0.677          	0.000          	1.899          	0.211          	0.0000         	75.96          	75.96          	137.26         	0.045          	0.0035         	0.0000         	0.038          	0.120          	37.533         	7.635          	1.976          	
1989-09-24	Maize          	19.872         	2.615          	9.893          	4.933          	2.430          	0.5733         	332.78         	303.14         	142.05         	0.250          	0.0248         	0.1698         	0.037          	0.000          	207.229        	43.254         	0.758          	
1990-05-20	Triticale      	2.813          	0.560          	0.000          	0.000          	2.253          	0.0000         	109.46         	109.46         	187.40         	0.036          	0.0026         	0.0000         	0.000          	0.300          	0.000          	35.911         	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	133.77         	0.279          	0.0117         	0.1452         	0.000          	0.000          	145.203        	133.761        	0.000          	
1991-05-08	RyeBioenergyBM 	5.494          	0.994          	0.823          	3.310          	0.368          	0.1828         	122.28         	122.28         	120.25         	0.074          	0.0055         	0.0208         	0.043          	0.143          	63.712         	10.220         	1.297          	
