DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-05-08	RyeBioenergyBM 	4.735          	0.895          	0.663          	2.859          	0.318          	0.1727         	130.85         	130.85         	107.84         	0.062          	0.0045         	0.0165         	0.037          	0.174          	53.611         	8.619          	1.299          	
1985-09-13	Maize          	16.167         	2.585          	6.695          	0.000          	6.888          	0.4929         	330.90         	263.18         	147.58         	0.224          	0.0248         	0.1399         	0.000          	0.000          	139.854        	84.157         	0.000          	
1986-05-21	RyeBioenergyBS 	1.805          	0.373          	0.282          	1.035          	0.115          	0.1970         	86.56          	86.56          	136.80         	0.026          	0.0016         	0.0081         	0.015          	0.354          	22.819         	3.289          	1.426          	
1986-09-17	Soybean        	9.416          	1.210          	2.739          	0.000          	5.467          	0.3338         	262.23         	254.16         	121.29         	0.278          	0.0122         	0.1443         	0.000          	0.000          	144.282        	133.233        	0.000          	
1987-05-08	RyeBioenergyBM 	3.650          	0.812          	0.000          	2.554          	0.284          	0.0000         	88.86          	88.86          	140.52         	0.056          	0.0041         	0.0000         	0.047          	0.109          	47.113         	9.385          	1.845          	
1987-09-26	Maize          	20.605         	2.568          	10.309         	0.000          	7.728          	0.5716         	366.97         	336.71         	141.49         	0.255          	0.0242         	0.1732         	0.000          	0.000          	173.195        	81.401         	0.000          	
1988-05-21	RyeBioenergyBS 	1.033          	0.246          	0.000          	0.708          	0.079          	0.0000         	54.92          	54.92          	154.12         	0.017          	0.0012         	0.0000         	0.014          	0.331          	14.428         	2.787          	2.039          	
1988-09-28	Soybean        	9.109          	1.179          	2.642          	0.000          	5.289          	0.3331         	311.76         	280.59         	94.30          	0.267          	0.0118         	0.1387         	0.000          	0.000          	138.663        	128.593        	0.000          	
1989-05-08	RyeBioenergyBM 	2.703          	0.660          	0.000          	1.839          	0.204          	0.0000         	74.91          	74.91          	138.43         	0.044          	0.0034         	0.0000         	0.036          	0.124          	36.369         	7.403          	1.978          	
1989-09-24	Maize          	19.872         	2.615          	9.894          	0.000          	7.363          	0.5733         	332.79         	303.14         	141.70         	0.255          	0.0249         	0.1735         	0.000          	0.000          	173.540        	81.897         	0.000          	
1990-05-21	RyeBioenergyBS 	1.453          	0.285          	0.254          	0.823          	0.091          	0.2174         	65.71          	65.71          	169.74         	0.024          	0.0013         	0.0082         	0.013          	0.378          	21.144         	2.775          	1.567          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	141.11         	0.279          	0.0117         	0.1452         	0.000          	0.000          	145.183        	133.745        	0.000          	
