DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Maize          	21.080         	2.710          	9.106          	0.000          	9.264          	0.4957         	338.63         	338.63         	152.70         	0.237          	0.0245         	0.1494         	0.000          	0.000          	149.439        	87.331         	0.000          	
1985-05-20	Triticale      	0.695          	0.126          	0.000          	0.000          	0.569          	0.0000         	38.73          	38.73          	153.75         	0.015          	0.0007         	0.0000         	0.000          	0.467          	0.000          	15.223         	0.000          	
1985-09-13	Soybean        	8.402          	1.176          	2.313          	0.000          	4.912          	0.3202         	253.28         	236.27         	133.61         	0.257          	0.0119         	0.1288         	0.000          	0.000          	128.799        	128.142        	0.000          	
1986-05-07	Triticale      	3.969          	0.847          	0.000          	0.000          	3.121          	0.0000         	111.94         	111.94         	124.14         	0.056          	0.0043         	0.0000         	0.000          	0.141          	0.000          	56.475         	0.000          	
1986-09-17	Maize          	19.054         	2.784          	7.835          	0.000          	8.435          	0.4816         	341.98         	301.64         	106.84         	0.265          	0.0276         	0.1645         	0.000          	0.000          	164.506        	100.318        	0.000          	
1987-05-20	Triticale      	1.823          	0.389          	0.000          	0.000          	1.434          	0.0000         	83.63          	83.63          	141.85         	0.027          	0.0017         	0.0000         	0.000          	0.282          	0.000          	26.702         	0.000          	
1987-09-26	Soybean        	9.993          	1.179          	2.939          	0.000          	5.875          	0.3334         	287.17         	282.88         	138.82         	0.287          	0.0117         	0.1494         	0.000          	0.000          	149.361        	137.243        	0.000          	
1988-05-07	Triticale      	3.082          	0.738          	0.000          	0.000          	2.343          	0.0000         	78.62          	78.62          	128.00         	0.051          	0.0039         	0.0000         	0.000          	0.105          	0.000          	50.523         	0.000          	
1988-09-28	Maize          	16.844         	2.347          	7.164          	0.000          	7.334          	0.4942         	382.04         	299.20         	118.27         	0.248          	0.0218         	0.1590         	0.000          	0.000          	158.976        	89.014         	0.000          	
1989-05-20	Triticale      	2.850          	0.646          	0.000          	0.000          	2.204          	0.0000         	92.16          	92.16          	123.35         	0.039          	0.0031         	0.0000         	0.000          	0.187          	0.000          	39.442         	0.000          	
1989-09-24	Soybean        	9.345          	1.158          	2.735          	0.000          	5.452          	0.3341         	255.82         	243.78         	128.49         	0.277          	0.0115         	0.1443         	0.000          	0.000          	144.337        	132.407        	0.000          	
1990-05-07	Triticale      	4.066          	0.834          	0.000          	0.000          	3.232          	0.0000         	104.39         	104.39         	128.86         	0.062          	0.0045         	0.0000         	0.000          	0.131          	0.000          	61.854         	0.000          	
1990-09-18	Maize          	20.416         	2.677          	8.838          	0.000          	8.902          	0.4982         	321.94         	321.94         	125.37         	0.283          	0.0263         	0.1811         	0.000          	0.000          	181.113        	101.810        	0.000          	
1991-05-20	Triticale      	3.014          	0.545          	0.000          	0.000          	2.470          	0.0000         	109.25         	109.25         	145.85         	0.039          	0.0026         	0.0000         	0.000          	0.353          	0.000          	39.301         	0.000          	
1991-09-21	Soybean        	8.288          	1.049          	2.377          	0.000          	4.862          	0.3284         	278.42         	244.58         	86.59          	0.253          	0.0104         	0.1301         	0.000          	0.000          	130.088        	122.702        	0.000          	
1992-05-07	Triticale      	3.598          	0.746          	0.000          	0.000          	2.851          	0.0000         	80.12          	80.12          	123.12         	0.056          	0.0040         	0.0000         	0.000          	0.109          	0.000          	56.449         	0.000          	
1992-09-25	Maize          	21.399         	2.801          	9.492          	0.000          	9.107          	0.5104         	317.82         	317.82         	115.53         	0.283          	0.0274         	0.1826         	0.000          	0.000          	182.587        	100.463        	0.000          	
1993-05-20	Triticale      	1.160          	0.287          	0.000          	0.000          	0.873          	0.0000         	62.17          	62.17          	116.26         	0.020          	0.0013         	0.0000         	0.000          	0.278          	0.000          	19.633         	0.000          	
1993-09-28	Soybean        	9.332          	1.167          	2.738          	0.000          	5.427          	0.3353         	285.00         	260.23         	115.39         	0.271          	0.0116         	0.1415         	0.000          	0.000          	141.492        	129.355        	0.000          	
1994-05-07	Triticale      	2.582          	0.671          	0.000          	0.000          	1.911          	0.0000         	74.93          	74.93          	114.84         	0.042          	0.0033         	0.0000         	0.000          	0.137          	0.000          	42.498         	0.000          	
1994-09-28	Maize          	22.653         	2.733          	10.369         	0.000          	9.551          	0.5205         	344.43         	344.43         	139.97         	0.293          	0.0265         	0.1922         	0.000          	0.000          	192.235        	100.804        	0.000          	
1995-05-20	Triticale      	1.459          	0.271          	0.000          	0.000          	1.188          	0.0000         	62.70          	62.70          	142.81         	0.023          	0.0013         	0.0000         	0.000          	0.363          	0.000          	23.343         	0.000          	
1995-09-11	Soybean        	6.735          	0.990          	1.811          	0.000          	3.934          	0.3152         	257.89         	197.90         	119.63         	0.220          	0.0100         	0.1090         	0.000          	0.000          	109.010        	111.052        	0.000          	
1996-05-07	Triticale      	3.073          	0.804          	0.000          	0.000          	2.269          	0.0000         	76.55          	76.55          	145.93         	0.053          	0.0042         	0.0000         	0.000          	0.094          	0.000          	52.846         	0.000          	
1996-09-25	Maize          	22.857         	2.847          	10.206         	0.000          	9.804          	0.5101         	350.08         	350.08         	140.53         	0.281          	0.0271         	0.1810         	0.000          	0.000          	181.049        	99.591         	0.000          	
1997-05-20	Triticale      	1.021          	0.219          	0.000          	0.000          	0.802          	0.0000         	50.32          	50.32          	141.40         	0.017          	0.0010         	0.0000         	0.000          	0.340          	0.000          	17.159         	0.000          	
1997-09-28	Soybean        	10.182         	1.253          	2.975          	0.000          	5.955          	0.3331         	295.04         	284.09         	119.91         	0.287          	0.0125         	0.1488         	0.000          	0.000          	148.788        	137.779        	0.000          	
1998-05-07	Triticale      	3.842          	0.785          	0.000          	0.000          	3.056          	0.0000         	95.43          	95.43          	123.03         	0.060          	0.0041         	0.0000         	0.000          	0.148          	0.000          	59.732         	0.000          	
1998-09-25	Maize          	19.606         	2.603          	8.294          	0.000          	8.709          	0.4878         	369.41         	321.41         	105.54         	0.283          	0.0256         	0.1799         	0.000          	0.000          	179.870        	103.335        	0.000          	
1999-05-20	Triticale      	1.879          	0.314          	0.000          	0.000          	1.564          	0.0000         	71.78          	71.78          	146.78         	0.030          	0.0015         	0.0000         	0.000          	0.402          	0.000          	29.957         	0.000          	
1999-09-28	Soybean        	9.708          	1.222          	2.791          	0.000          	5.695          	0.3289         	318.50         	287.29         	115.51         	0.277          	0.0121         	0.1424         	0.000          	0.000          	142.407        	134.716        	0.000          	
2000-05-07	Triticale      	4.333          	0.791          	0.000          	0.000          	3.543          	0.0000         	112.98         	112.98         	129.04         	0.061          	0.0042         	0.0000         	0.000          	0.154          	0.000          	61.003         	0.000          	
2000-09-28	Maize          	19.156         	2.673          	7.981          	0.000          	8.502          	0.4842         	324.00         	283.76         	111.38         	0.268          	0.0265         	0.1680         	0.000          	0.000          	167.956        	99.974         	0.000          	
2001-05-20	Triticale      	1.497          	0.348          	0.000          	0.000          	1.149          	0.0000         	66.00          	66.00          	116.59         	0.024          	0.0017         	0.0000         	0.000          	0.276          	0.000          	24.487         	0.000          	
2001-09-28	Soybean        	8.726          	1.188          	2.459          	0.000          	5.079          	0.3262         	299.85         	246.54         	137.84         	0.257          	0.0118         	0.1311         	0.000          	0.000          	131.062        	126.282        	0.000          	
2002-05-07	Triticale      	5.088          	0.837          	0.000          	0.000          	4.251          	0.0000         	133.66         	133.66         	118.54         	0.067          	0.0045         	0.0000         	0.000          	0.186          	0.000          	67.226         	0.000          	
2002-09-27	Maize          	13.462         	2.295          	4.613          	0.000          	6.554          	0.4131         	389.93         	229.54         	112.13         	0.210          	0.0226         	0.1186         	0.000          	0.000          	118.586        	91.015         	0.000          	
2003-05-20	Triticale      	3.989          	0.947          	0.000          	0.000          	3.042          	0.0000         	108.03         	108.03         	108.77         	0.060          	0.0048         	0.0000         	0.000          	0.133          	0.000          	60.315         	0.000          	
2003-09-28	Soybean        	9.841          	1.183          	2.896          	0.000          	5.762          	0.3345         	251.57         	251.57         	119.41         	0.286          	0.0117         	0.1495         	0.000          	0.000          	149.487        	136.677        	0.000          	
2004-05-07	Triticale      	3.719          	0.770          	0.000          	0.000          	2.950          	0.0000         	92.01          	92.01          	108.85         	0.059          	0.0042         	0.0000         	0.000          	0.123          	0.000          	58.681         	0.000          	
2004-09-26	Maize          	22.831         	2.899          	10.306         	0.000          	9.627          	0.5170         	330.77         	330.77         	137.79         	0.296          	0.0282         	0.1925         	0.000          	0.000          	192.475        	103.545        	0.000          	
2005-05-20	Triticale      	1.529          	0.316          	0.000          	0.000          	1.213          	0.0000         	68.62          	68.62          	117.51         	0.023          	0.0014         	0.0000         	0.000          	0.319          	0.000          	23.200         	0.000          	
2005-09-27	Soybean        	7.501          	1.037          	2.073          	0.000          	4.391          	0.3207         	299.39         	222.35         	100.86         	0.233          	0.0102         	0.1171         	0.000          	0.000          	117.050        	115.499        	0.000          	
2006-05-07	Triticale      	3.986          	0.793          	0.000          	0.000          	3.193          	0.0000         	118.92         	118.92         	139.22         	0.055          	0.0041         	0.0000         	0.000          	0.153          	0.000          	54.853         	0.000          	
2006-09-28	Maize          	19.508         	2.568          	8.317          	0.000          	8.624          	0.4909         	346.13         	308.78         	135.46         	0.275          	0.0254         	0.1752         	0.000          	0.000          	175.183        	100.299        	0.000          	
2007-05-20	Triticale      	2.020          	0.386          	0.000          	0.000          	1.634          	0.0000         	83.38          	83.38          	144.81         	0.031          	0.0018         	0.0000         	0.000          	0.312          	0.000          	30.811         	0.000          	
2007-09-17	Soybean        	9.954          	1.285          	2.854          	0.000          	5.816          	0.3292         	294.95         	284.06         	114.73         	0.284          	0.0129         	0.1458         	0.000          	0.000          	145.771        	138.241        	0.000          	
