DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-05-07	Triticale      	4.632          	0.888          	0.000          	0.000          	3.744          	0.0000         	130.85         	130.85         	107.84         	0.062          	0.0045         	0.0000         	0.000          	0.170          	0.000          	61.628         	0.000          	
1985-09-13	Maize          	16.760         	2.634          	6.015          	0.000          	8.111          	0.4258         	331.15         	272.41         	115.98         	0.247          	0.0266         	0.1423         	0.000          	0.000          	142.301        	104.394        	0.000          	
1986-05-20	Triticale      	2.846          	0.578          	0.000          	0.000          	2.268          	0.0000         	123.04         	123.04         	114.98         	0.035          	0.0025         	0.0000         	0.000          	0.298          	0.000          	35.142         	0.000          	
1986-09-17	Soybean        	9.437          	1.211          	2.746          	0.000          	5.480          	0.3339         	262.25         	254.73         	115.92         	0.278          	0.0122         	0.1446         	0.000          	0.000          	144.615        	133.450        	0.000          	
1987-05-07	Triticale      	3.710          	0.832          	0.000          	0.000          	2.878          	0.0000         	90.18          	90.18          	139.01         	0.059          	0.0043         	0.0000         	0.000          	0.099          	0.000          	58.710         	0.000          	
1987-09-26	Maize          	20.769         	2.581          	9.005          	0.000          	9.182          	0.4951         	367.01         	339.59         	130.22         	0.285          	0.0254         	0.1826         	0.000          	0.000          	182.599        	102.294        	0.000          	
1988-05-20	Triticale      	1.549          	0.364          	0.000          	0.000          	1.185          	0.0000         	73.02          	73.02          	128.60         	0.023          	0.0016         	0.0000         	0.000          	0.288          	0.000          	23.271         	0.000          	
1988-09-28	Soybean        	9.126          	1.181          	2.647          	0.000          	5.299          	0.3331         	312.03         	281.20         	93.79          	0.268          	0.0119         	0.1389         	0.000          	0.000          	138.947        	128.858        	0.000          	
1989-05-07	Triticale      	2.819          	0.687          	0.000          	0.000          	2.133          	0.0000         	76.76          	76.76          	136.52         	0.046          	0.0035         	0.0000         	0.000          	0.115          	0.000          	45.898         	0.000          	
1989-09-24	Maize          	19.883         	2.616          	8.570          	0.000          	8.696          	0.4964         	332.80         	303.30         	125.76         	0.278          	0.0257         	0.1777         	0.000          	0.000          	177.674        	100.219        	0.000          	
1990-05-20	Triticale      	1.999          	0.396          	0.000          	0.000          	1.603          	0.0000         	81.46          	81.46          	146.23         	0.030          	0.0018         	0.0000         	0.000          	0.332          	0.000          	30.171         	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	134.06         	0.279          	0.0117         	0.1452         	0.000          	0.000          	145.244        	133.796        	0.000          	
1991-05-07	Triticale      	5.428          	0.992          	0.000          	0.000          	4.436          	0.0000         	122.40         	122.40         	120.16         	0.074          	0.0055         	0.0000         	0.000          	0.138          	0.000          	73.997         	0.000          	
1991-09-21	Maize          	17.021         	2.346          	6.977          	0.000          	7.698          	0.4755         	378.44         	291.46         	83.35          	0.258          	0.0232         	0.1618         	0.000          	0.000          	161.792        	96.212         	0.000          	
1992-05-20	Triticale      	3.179          	0.625          	0.000          	0.000          	2.555          	0.0000         	98.79          	98.79          	116.24         	0.042          	0.0030         	0.0000         	0.000          	0.230          	0.000          	42.008         	0.000          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	115.11         	0.289          	0.0122         	0.1522         	0.000          	0.000          	152.227        	136.378        	0.000          	
1993-05-07	Triticale      	2.443          	0.649          	0.000          	0.000          	1.794          	0.0000         	70.62          	70.62          	114.58         	0.043          	0.0033         	0.0000         	0.000          	0.112          	0.000          	43.341         	0.000          	
1993-09-28	Maize          	17.607         	2.404          	7.624          	0.000          	7.578          	0.5015         	356.01         	284.47         	113.95         	0.252          	0.0231         	0.1619         	0.000          	0.000          	161.943        	89.870         	0.000          	
1994-05-20	Triticale      	2.585          	0.612          	0.000          	0.000          	1.973          	0.0000         	91.56          	91.56          	109.77         	0.035          	0.0027         	0.0000         	0.000          	0.215          	0.000          	35.312         	0.000          	
1994-09-28	Soybean        	10.572         	1.204          	3.177          	0.000          	6.190          	0.3392         	273.11         	273.11         	134.58         	0.298          	0.0119         	0.1578         	0.000          	0.000          	157.808        	140.626        	0.000          	
1995-05-07	Triticale      	4.030          	0.770          	0.000          	0.000          	3.261          	0.0000         	100.40         	100.40         	114.99         	0.057          	0.0041         	0.0000         	0.000          	0.131          	0.000          	57.464         	0.000          	
1995-09-11	Maize          	14.744         	2.308          	5.391          	0.000          	7.045          	0.4335         	337.23         	246.89         	103.83         	0.242          	0.0232         	0.1430         	0.000          	0.000          	142.964        	98.954         	0.000          	
1996-05-20	Triticale      	3.587          	0.831          	0.000          	0.000          	2.755          	0.0000         	96.99          	96.99          	133.98         	0.053          	0.0041         	0.0000         	0.000          	0.147          	0.000          	53.106         	0.000          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	141.05         	0.297          	0.0125         	0.1554         	0.000          	0.000          	155.429        	141.917        	0.000          	
1997-05-07	Triticale      	3.746          	0.808          	0.000          	0.000          	2.937          	0.0000         	98.44          	98.44          	124.24         	0.054          	0.0040         	0.0000         	0.000          	0.119          	0.000          	53.607         	0.000          	
1997-09-28	Maize          	20.097         	2.585          	8.906          	0.000          	8.606          	0.5086         	365.69         	324.76         	124.91         	0.270          	0.0247         	0.1751         	0.000          	0.000          	175.131        	95.132         	0.000          	
1998-05-20	Triticale      	2.253          	0.432          	0.000          	0.000          	1.821          	0.0000         	92.05          	92.05          	133.43         	0.032          	0.0019         	0.0000         	0.000          	0.321          	0.000          	32.194         	0.000          	
1998-09-27	Soybean        	9.678          	1.177          	2.834          	0.000          	5.667          	0.3334         	292.27         	274.51         	123.25         	0.280          	0.0116         	0.1458         	0.000          	0.000          	145.834        	134.202        	0.000          	
1999-05-07	Triticale      	4.370          	0.812          	0.000          	0.000          	3.558          	0.0000         	117.56         	117.56         	115.15         	0.056          	0.0040         	0.0000         	0.000          	0.192          	0.000          	56.302         	0.000          	
1999-09-28	Maize          	19.309         	2.604          	8.084          	0.000          	8.621          	0.4839         	407.98         	329.77         	102.41         	0.275          	0.0258         	0.1733         	0.000          	0.000          	173.251        	101.701        	0.000          	
2000-05-20	Triticale      	2.503          	0.440          	0.000          	0.000          	2.063          	0.0000         	105.21         	105.21         	131.92         	0.034          	0.0020         	0.0000         	0.000          	0.349          	0.000          	33.775         	0.000          	
2000-09-28	Soybean        	9.701          	1.210          	2.829          	0.000          	5.663          	0.3331         	254.09         	244.36         	130.61         	0.281          	0.0120         	0.1462         	0.000          	0.000          	146.194        	135.072        	0.000          	
2001-05-07	Triticale      	2.929          	0.702          	0.000          	0.000          	2.227          	0.0000         	80.68          	80.68          	122.62         	0.048          	0.0037         	0.0000         	0.000          	0.103          	0.000          	47.955         	0.000          	
2001-09-28	Maize          	17.086         	2.552          	6.727          	0.000          	7.808          	0.4628         	372.34         	277.48         	127.81         	0.260          	0.0254         	0.1592         	0.000          	0.000          	159.234        	100.693        	0.000          	
2002-05-20	Triticale      	4.023          	0.645          	0.000          	0.000          	3.378          	0.0000         	133.65         	133.65         	134.77         	0.049          	0.0031         	0.0000         	0.000          	0.323          	0.000          	48.941         	0.000          	
2002-09-26	Soybean        	7.045          	1.086          	1.851          	0.000          	4.108          	0.3106         	321.29         	207.13         	113.31         	0.210          	0.0107         	0.1023         	0.000          	0.000          	102.336        	108.040        	0.000          	
2003-05-07	Triticale      	2.863          	0.784          	0.000          	0.000          	2.078          	0.0000         	80.51          	80.51          	125.83         	0.048          	0.0040         	0.0000         	0.000          	0.097          	0.000          	48.162         	0.000          	
2003-09-28	Maize          	21.449         	2.707          	9.462          	0.000          	9.280          	0.5049         	323.83         	323.83         	125.23         	0.280          	0.0262         	0.1803         	0.000          	0.000          	180.335        	99.717         	0.000          	
2004-05-20	Triticale      	1.395          	0.271          	0.000          	0.000          	1.124          	0.0000         	61.36          	61.36          	137.71         	0.025          	0.0013         	0.0000         	0.000          	0.356          	0.000          	25.069         	0.000          	
2004-09-28	Soybean        	10.490         	1.249          	3.131          	0.000          	6.111          	0.3388         	257.12         	257.12         	147.07         	0.296          	0.0123         	0.1562         	0.000          	0.000          	156.164        	139.973        	0.000          	
