DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-09-13	Maize          	16.674         	2.616          	6.040          	0.000          	8.017          	0.4297         	331.88         	271.02         	137.58         	0.265          	0.0265         	0.1551         	0.000          	0.000          	155.101        	109.981        	0.000          	
1986-09-17	Soybean        	9.442          	1.211          	2.748          	0.000          	5.482          	0.3339         	262.26         	254.84         	115.49         	0.279          	0.0122         	0.1450         	0.000          	0.000          	145.029        	133.785        	0.000          	
1987-09-26	Maize          	20.607         	2.559          	8.965          	0.000          	9.084          	0.4967         	366.03         	336.92         	137.01         	0.310          	0.0253         	0.2005         	0.000          	0.000          	200.545        	109.298        	0.000          	
1988-10-06	Soybean        	9.586          	1.202          	2.811          	0.000          	5.573          	0.3353         	323.01         	292.76         	100.86         	0.277          	0.0120         	0.1445         	0.000          	0.000          	144.527        	132.282        	0.000          	
1989-09-24	Maize          	19.870         	2.601          	8.634          	0.000          	8.635          	0.5000         	331.78         	303.09         	118.92         	0.297          	0.0257         	0.1921         	0.000          	0.000          	192.056        	105.294        	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	129.66         	0.280          	0.0117         	0.1457         	0.000          	0.000          	145.709        	134.187        	0.000          	
1991-09-21	Maize          	17.003         	2.336          	7.016          	0.000          	7.651          	0.4783         	377.47         	291.07         	85.73          	0.263          	0.0230         	0.1660         	0.000          	0.000          	166.018        	97.208         	0.000          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	117.52         	0.290          	0.0122         	0.1530         	0.000          	0.000          	153.015        	137.020        	0.000          	
1993-09-30	Maize          	17.673         	2.399          	7.763          	0.000          	7.512          	0.5082         	356.72         	285.21         	116.04         	0.263          	0.0238         	0.1706         	0.000          	0.000          	170.614        	92.519         	0.000          	
1994-09-29	Soybean        	10.630         	1.206          	3.198          	0.000          	6.225          	0.3394         	274.18         	274.18         	133.34         	0.300          	0.0119         	0.1587         	0.000          	0.000          	158.690        	141.216        	0.000          	
1995-09-11	Maize          	14.786         	2.299          	5.514          	0.000          	6.973          	0.4416         	335.58         	247.24         	113.20         	0.243          	0.0231         	0.1453         	0.000          	0.000          	145.344        	97.658         	0.000          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	150.97         	0.298          	0.0125         	0.1558         	0.000          	0.000          	155.796        	142.223        	0.000          	
1997-10-02	Maize          	20.400         	2.581          	9.149          	0.000          	8.671          	0.5134         	370.60         	328.10         	135.76         	0.297          	0.0257         	0.1940         	0.000          	0.000          	194.010        	102.556        	0.000          	
1998-09-27	Soybean        	9.695          	1.177          	2.840          	0.000          	5.678          	0.3335         	292.29         	275.01         	121.78         	0.281          	0.0116         	0.1464         	0.000          	0.000          	146.415        	134.644        	0.000          	
1999-09-28	Maize          	19.821         	2.657          	8.305          	0.000          	8.858          	0.4839         	408.43         	339.48         	113.38         	0.299          	0.0263         	0.1894         	0.000          	0.000          	189.443        	109.290        	0.000          	
2000-09-29	Soybean        	9.759          	1.212          	2.850          	0.000          	5.697          	0.3334         	254.74         	245.35         	127.58         	0.283          	0.0120         	0.1472         	0.000          	0.000          	147.198        	135.737        	0.000          	
2001-10-01	Maize          	17.473         	2.564          	7.041          	0.000          	7.868          	0.4723         	374.15         	281.86         	132.53         	0.273          	0.0254         	0.1699         	0.000          	0.000          	169.884        	103.011        	0.000          	
2002-09-26	Soybean        	6.998          	1.080          	1.839          	0.000          	4.079          	0.3107         	321.03         	205.65         	120.82         	0.209          	0.0106         	0.1017         	0.000          	0.000          	101.687        	107.305        	0.000          	
2003-10-01	Maize          	21.650         	2.704          	9.559          	0.000          	9.388          	0.5045         	326.33         	326.33         	137.52         	0.296          	0.0265         	0.1916         	0.000          	0.000          	191.552        	104.619        	0.000          	
2004-09-29	Soybean        	10.516         	1.249          	3.140          	0.000          	6.126          	0.3389         	258.45         	258.45         	132.78         	0.297          	0.0123         	0.1565         	0.000          	0.000          	156.517        	140.194        	0.000          	
2005-09-27	Maize          	15.829         	2.380          	6.036          	0.000          	7.413          	0.4488         	376.17         	273.12         	113.16         	0.251          	0.0235         	0.1521         	0.000          	0.000          	152.111        	99.358         	0.000          	
2006-09-28	Soybean        	9.923          	1.200          	2.918          	0.000          	5.805          	0.3345         	283.35         	269.66         	140.52         	0.285          	0.0119         	0.1487         	0.000          	0.000          	148.743        	136.157        	0.000          	
2007-09-17	Maize          	20.663         	2.817          	8.785          	0.000          	9.061          	0.4923         	380.70         	339.99         	117.95         	0.299          	0.0282         	0.1903         	0.000          	0.000          	190.251        	109.090        	0.000          	
2008-09-30	Soybean        	9.387          	1.158          	2.750          	0.000          	5.480          	0.3341         	292.74         	262.12         	136.59         	0.276          	0.0114         	0.1437         	0.000          	0.000          	143.721        	131.835        	0.000          	
2009-10-02	Maize          	23.085         	2.995          	10.117         	0.000          	9.973          	0.5036         	340.76         	340.76         	135.27         	0.317          	0.0295         	0.2043         	0.000          	0.000          	204.270        	113.098        	0.000          	
2010-09-30	Soybean        	10.059         	1.239          	2.955          	0.000          	5.865          	0.3350         	311.94         	297.16         	102.46         	0.290          	0.0122         	0.1515         	0.000          	0.000          	151.527        	138.509        	0.000          	
2011-09-23	Maize          	19.675         	2.505          	9.112          	0.000          	8.058          	0.5307         	369.45         	318.59         	131.02         	0.297          	0.0247         	0.1983         	0.000          	0.000          	198.288        	98.968         	0.000          	
2012-09-26	Soybean        	10.557         	1.276          	3.129          	0.000          	6.153          	0.3371         	297.33         	297.29         	123.63         	0.299          	0.0126         	0.1571         	0.000          	0.000          	157.056        	142.158        	0.000          	
