DATE      	CROP           	TOTAL BIOMASS  	ROOT BIOMASS   	GRAIN YIELD    	FORAGE YIELD   	AG RESIDUE     	HARVEST INDEX  	POTENTIAL TR   	ACTUAL TR      	SOIL EVAP      	TOTAL N        	ROOT N         	GRAIN N        	FORAGE N       	CUM. N STRESS  	N IN HARVEST   	N IN RESIDUE   	N CONCN FORAGE 
YYYY-MM-DD	-              	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	Mg/Mg          	mm             	mm             	mm             	Mg/ha          	Mg/ha          	Mg/ha          	Mg/ha          	-              	kg/ha          	kg/ha          	%              
1984-09-17	Soybean        	8.924          	1.113          	2.591          	0.000          	5.220          	0.3317         	245.88         	245.88         	156.42         	0.268          	0.0112         	0.1387         	0.000          	0.000          	138.656        	128.865        	0.000          	
1985-05-08	RyeBioenergyBM 	6.692          	1.156          	0.955          	4.122          	0.458          	0.1726         	138.77         	138.77         	105.05         	0.097          	0.0066         	0.0258         	0.058          	0.079          	84.085         	13.035         	1.414          	
1985-09-13	Maize          	16.022         	2.571          	6.630          	4.571          	2.251          	0.4929         	330.85         	260.90         	146.82         	0.224          	0.0248         	0.1402         	0.040          	0.000          	180.056        	44.439         	0.872          	
1986-05-20	Triticale      	7.284          	1.253          	0.000          	0.000          	6.031          	0.0000         	163.52         	163.52         	138.21         	0.099          	0.0070         	0.0000         	0.000          	0.098          	0.000          	98.690         	0.000          	
1986-09-17	Soybean        	9.252          	1.204          	2.679          	0.000          	5.369          	0.3329         	262.03         	250.03         	103.09         	0.274          	0.0121         	0.1424         	0.000          	0.000          	142.350        	132.094        	0.000          	
1987-05-08	RyeBioenergyBM 	5.354          	1.097          	0.000          	3.832          	0.426          	0.0000         	97.15          	97.15          	137.82         	0.093          	0.0066         	0.0000         	0.078          	0.032          	77.899         	15.291         	2.033          	
1987-09-26	Maize          	20.609         	2.569          	10.311         	5.179          	2.551          	0.5716         	366.97         	336.78         	141.05         	0.260          	0.0245         	0.1770         	0.039          	0.000          	216.179        	43.768         	0.756          	
1988-05-20	Triticale      	6.401          	1.209          	0.000          	0.000          	5.193          	0.0000         	126.86         	126.86         	157.74         	0.099          	0.0070         	0.0000         	0.000          	0.057          	0.000          	99.284         	0.000          	
1988-09-28	Soybean        	9.170          	1.187          	2.659          	0.000          	5.324          	0.3331         	312.74         	282.72         	91.49          	0.269          	0.0119         	0.1396         	0.000          	0.000          	139.569        	129.444        	0.000          	
1989-05-08	RyeBioenergyBM 	4.537          	0.997          	0.000          	3.186          	0.354          	0.0000         	86.54          	86.54          	131.99         	0.082          	0.0059         	0.0000         	0.068          	0.039          	68.467         	13.551         	2.149          	
1989-09-24	Maize          	19.872         	2.615          	9.893          	4.933          	2.430          	0.5733         	332.78         	303.14         	141.05         	0.262          	0.0251         	0.1779         	0.039          	0.000          	217.080        	44.428         	0.794          	
1990-05-20	Triticale      	7.423          	1.208          	0.000          	0.000          	6.215          	0.0000         	146.64         	146.64         	154.60         	0.106          	0.0070         	0.0000         	0.000          	0.076          	0.000          	105.754        	0.000          	
1990-09-18	Soybean        	9.425          	1.170          	2.752          	0.000          	5.503          	0.3334         	254.66         	254.66         	110.09         	0.279          	0.0117         	0.1452         	0.000          	0.000          	145.248        	133.799        	0.000          	
1991-05-08	RyeBioenergyBM 	7.219          	1.198          	1.104          	4.426          	0.492          	0.1833         	126.40         	126.40         	119.48         	0.109          	0.0073         	0.0308         	0.063          	0.057          	94.126         	14.381         	1.430          	
1991-09-21	Maize          	16.489         	2.296          	7.860          	4.243          	2.090          	0.5538         	378.12         	281.46         	84.01          	0.234          	0.0222         	0.1570         	0.037          	0.000          	193.665        	40.272         	0.864          	
1992-05-20	Triticale      	6.603          	1.081          	0.000          	0.000          	5.522          	0.0000         	114.46         	114.46         	144.14         	0.105          	0.0065         	0.0000         	0.000          	0.048          	0.000          	104.782        	0.000          	
1992-09-25	Soybean        	9.974          	1.220          	2.970          	0.000          	5.784          	0.3392         	249.18         	249.18         	103.99         	0.289          	0.0122         	0.1522         	0.000          	0.000          	152.231        	136.381        	0.000          	
1993-05-08	RyeBioenergyBM 	3.812          	0.938          	0.000          	2.587          	0.287          	0.0000         	82.68          	82.68          	109.91         	0.072          	0.0055         	0.0000         	0.060          	0.058          	59.899         	12.143         	2.316          	
1993-09-28	Maize          	17.535         	2.395          	8.766          	4.270          	2.103          	0.5790         	355.84         	283.22         	120.91         	0.247          	0.0227         	0.1692         	0.037          	0.000          	205.884        	40.798         	0.858          	
1994-05-20	Triticale      	6.033          	1.259          	0.000          	0.000          	4.774          	0.0000         	127.85         	127.85         	133.84         	0.087          	0.0068         	0.0000         	0.000          	0.088          	0.000          	86.798         	0.000          	
1994-09-28	Soybean        	10.572         	1.204          	3.177          	0.000          	6.190          	0.3392         	273.11         	273.11         	128.54         	0.298          	0.0119         	0.1578         	0.000          	0.000          	157.790        	140.612        	0.000          	
1995-05-08	RyeBioenergyBM 	5.836          	1.007          	0.000          	4.346          	0.483          	0.0000         	104.15         	104.15         	115.71         	0.093          	0.0059         	0.0000         	0.078          	0.055          	77.929         	14.586         	1.793          	
1995-09-11	Maize          	14.663         	2.303          	6.232          	4.106          	2.022          	0.5042         	337.12         	245.25         	129.36         	0.241          	0.0231         	0.1544         	0.042          	0.000          	196.634        	43.929         	1.029          	
1996-05-20	Triticale      	5.947          	1.241          	0.000          	0.000          	4.707          	0.0000         	116.27         	116.27         	155.66         	0.098          	0.0074         	0.0000         	0.000          	0.050          	0.000          	98.277         	0.000          	
1996-09-24	Soybean        	10.538         	1.264          	3.109          	0.000          	6.165          	0.3352         	275.10         	275.10         	130.28         	0.297          	0.0125         	0.1554         	0.000          	0.000          	155.445        	141.930        	0.000          	
1997-05-08	RyeBioenergyBM 	5.446          	1.078          	0.000          	3.931          	0.437          	0.0000         	105.83         	105.83         	122.65         	0.086          	0.0061         	0.0000         	0.072          	0.055          	71.671         	14.072         	1.823          	
1997-09-28	Maize          	19.964         	2.568          	10.202         	4.820          	2.374          	0.5865         	365.30         	322.31         	147.22         	0.248          	0.0232         	0.1707         	0.036          	0.000          	206.862        	41.006         	0.750          	
1998-05-20	Triticale      	6.874          	1.132          	0.000          	0.000          	5.741          	0.0000         	145.24         	145.24         	145.71         	0.097          	0.0063         	0.0000         	0.000          	0.105          	0.000          	97.119         	0.000          	
1998-09-27	Soybean        	9.821          	1.184          	2.885          	0.000          	5.751          	0.3341         	292.48         	278.60         	104.54         	0.283          	0.0116         	0.1477         	0.000          	0.000          	147.669        	135.369        	0.000          	
1999-05-08	RyeBioenergyBM 	6.843          	1.148          	0.948          	4.273          	0.475          	0.1664         	134.24         	134.24         	102.39         	0.094          	0.0062         	0.0239         	0.057          	0.094          	81.099         	12.563         	1.338          	
1999-09-28	Maize          	18.837         	2.546          	9.176          	4.768          	2.348          	0.5632         	407.04         	320.74         	113.42         	0.249          	0.0250         	0.1673         	0.038          	0.000          	205.216        	43.664         	0.796          	
2000-05-20	Triticale      	7.890          	1.145          	0.000          	0.000          	6.745          	0.0000         	162.95         	162.95         	154.73         	0.108          	0.0066         	0.0000         	0.000          	0.082          	0.000          	108.141        	0.000          	
2000-09-28	Soybean        	9.796          	1.214          	2.863          	0.000          	5.719          	0.3336         	254.38         	246.71         	105.55         	0.283          	0.0120         	0.1473         	0.000          	0.000          	147.295        	135.724        	0.000          	
2001-05-08	RyeBioenergyBM 	4.514          	0.967          	0.000          	3.193          	0.355          	0.0000         	89.88          	89.88          	121.10         	0.083          	0.0059         	0.0000         	0.069          	0.030          	69.219         	13.577         	2.168          	
2001-09-28	Maize          	16.299         	2.475          	7.415          	4.294          	2.115          	0.5364         	371.31         	264.35         	145.19         	0.243          	0.0246         	0.1599         	0.039          	0.000          	199.249        	43.998         	0.917          	
2002-05-20	Triticale      	8.784          	1.165          	0.000          	0.000          	7.619          	0.0000         	167.66         	167.66         	132.42         	0.116          	0.0071         	0.0000         	0.000          	0.088          	0.000          	116.081        	0.000          	
2002-09-26	Soybean        	7.190          	1.102          	1.894          	0.000          	4.195          	0.3110         	321.73         	211.62         	92.38          	0.215          	0.0108         	0.1046         	0.000          	0.000          	104.643        	110.148        	0.000          	
2003-05-08	RyeBioenergyBM 	4.404          	1.116          	0.000          	2.959          	0.329          	0.0000         	90.54          	90.54          	119.33         	0.082          	0.0067         	0.0000         	0.068          	0.040          	67.686         	14.235         	2.288          	
2003-09-28	Maize          	21.449         	2.707          	10.911         	5.247          	2.584          	0.5822         	323.83         	323.83         	145.39         	0.259          	0.0255         	0.1766         	0.038          	0.000          	214.510        	44.162         	0.722          	
2004-05-20	Triticale      	6.595          	1.094          	0.000          	0.000          	5.501          	0.0000         	137.14         	137.14         	139.98         	0.097          	0.0064         	0.0000         	0.000          	0.091          	0.000          	96.859         	0.000          	
2004-09-28	Soybean        	10.490         	1.249          	3.131          	0.000          	6.111          	0.3388         	257.12         	257.12         	123.04         	0.296          	0.0123         	0.1562         	0.000          	0.000          	156.154        	139.965        	0.000          	
2005-05-08	RyeBioenergyBM 	5.413          	1.058          	0.000          	3.919          	0.435          	0.0000         	101.58         	101.58         	106.11         	0.088          	0.0061         	0.0000         	0.074          	0.056          	73.504         	14.243         	1.876          	
2005-09-28	Maize          	12.940         	1.993          	5.627          	3.564          	1.756          	0.5140         	349.40         	221.36         	118.76         	0.206          	0.0197         	0.1335         	0.035          	0.000          	168.813        	37.061         	0.991          	
2006-05-20	Triticale      	8.148          	1.251          	0.000          	0.000          	6.897          	0.0000         	156.62         	156.62         	156.90         	0.125          	0.0080         	0.0000         	0.000          	0.038          	0.000          	124.621        	0.000          	
2006-09-28	Soybean        	10.031         	1.206          	2.957          	0.000          	5.868          	0.3350         	283.40         	272.85         	116.75         	0.287          	0.0119         	0.1500         	0.000          	0.000          	149.992        	136.940        	0.000          	
2007-05-08	RyeBioenergyBM 	5.598          	1.010          	0.000          	4.129          	0.459          	0.0000         	106.38         	106.38         	114.24         	0.095          	0.0062         	0.0000         	0.080          	0.041          	80.159         	15.152         	1.941          	
2007-09-17	Maize          	20.088         	2.748          	9.852          	5.017          	2.471          	0.5682         	379.45         	330.12         	114.74         	0.246          	0.0258         	0.1649         	0.037          	0.000          	201.769        	44.006         	0.735          	
2008-05-20	Triticale      	5.974          	1.056          	0.000          	0.000          	4.918          	0.0000         	112.94         	112.94         	141.30         	0.091          	0.0062         	0.0000         	0.000          	0.081          	0.000          	91.416         	0.000          	
2008-09-28	Soybean        	9.349          	1.158          	2.735          	0.000          	5.456          	0.3339         	291.22         	263.04         	127.71         	0.275          	0.0115         	0.1432         	0.000          	0.000          	143.184        	131.546        	0.000          	
2009-05-08	RyeBioenergyBM 	4.811          	1.043          	0.000          	3.391          	0.377          	0.0000         	87.58          	87.58          	117.78         	0.086          	0.0062         	0.0000         	0.072          	0.046          	72.071         	14.206         	2.125          	
2009-09-28	Maize          	22.808         	2.996          	11.392         	5.642          	2.779          	0.5750         	337.75         	337.75         	147.14         	0.273          	0.0287         	0.1844         	0.040          	0.000          	224.814        	48.575         	0.716          	
2010-05-20	Triticale      	7.570          	1.329          	0.000          	0.000          	6.241          	0.0000         	163.00         	163.00         	119.15         	0.097          	0.0070         	0.0000         	0.000          	0.098          	0.000          	97.296         	0.000          	
2010-09-28	Soybean        	10.021         	1.237          	2.941          	0.000          	5.842          	0.3349         	309.84         	295.68         	93.99          	0.289          	0.0122         	0.1509         	0.000          	0.000          	150.893        	138.113        	0.000          	
2011-05-08	RyeBioenergyBM 	4.783          	1.021          	0.000          	3.386          	0.376          	0.0000         	86.90          	86.90          	107.78         	0.084          	0.0061         	0.0000         	0.070          	0.048          	69.879         	13.831         	2.064          	
2011-09-24	Maize          	19.756         	2.504          	10.483         	4.535          	2.234          	0.6076         	370.22         	317.95         	146.52         	0.264          	0.0246         	0.1841         	0.037          	0.000          	220.803        	42.723         	0.810          	
2012-05-20	Triticale      	8.750          	1.166          	0.000          	0.000          	7.584          	0.0000         	167.45         	167.45         	153.39         	0.115          	0.0068         	0.0000         	0.000          	0.104          	0.000          	115.270        	0.000          	
2012-09-26	Soybean        	10.560         	1.276          	3.129          	0.000          	6.154          	0.3371         	297.36         	297.36         	104.98         	0.298          	0.0126         	0.1565         	0.000          	0.000          	156.539        	141.740        	0.000          	
